gene,start,end,chromosome,assembly
FHL1,196652043,196747504,NC_000001.11,GRCh38.p14
NDUFB11,47142216,47145491,NC_000023.11,GRCh38.p14
ACTN2,236686499,236764631,NC_000001.11,GRCh38.p14
CALR3,16479061,16496167,NC_000019.10,GRCh38.p14
SGCB,52020706,52038299,NC_000004.12,GRCh38.p14
FLNC,128830406,128859272,NC_000007.14,GRCh38.p14
MYL2,110910845,110921449,NC_000012.12,GRCh38.p14
RIT1,99169287,99272197,NC_000014.9,GRCh38.p14
SUCLG1,84423528,84459280,NC_000002.12,GRCh38.p14
MT-TH,12138,12206,NC_012920.1,"Homo sapiens mitochondrion, complete genome"
SLC25A4,185143266,185150382,NC_000004.12,GRCh38.p14
FLAD1,154983344,154993111,NC_000001.11,GRCh38.p14
MMADHC,149569637,149587775,NC_000002.12,GRCh38.p14
OPA1,193593208,193697811,NC_000003.12,GRCh38.p14
MYLK2,31819356,31834684,NC_000020.11,GRCh38.p14
TULP3,2890891,2941138,NC_000012.12,GRCh38.p14
GATAD1,92447482,92495769,NC_000007.14,GRCh38.p14
MCEE,71109687,71130229,NC_000002.12,GRCh38.p14
COQ7,19067614,19083097,NC_000016.10,GRCh38.p14
MYL3,46857872,46882182,NC_000003.12,GRCh38.p14
NRAS,114704469,114716771,NC_000001.11,GRCh38.p14
SLC22A5,132369710,132395612,NC_000005.10,GRCh38.p14
MMAA,145619385,145660033,NC_000004.12,GRCh38.p14
MYOM1,3066807,3247376,NC_000018.10,GRCh38.p14
COQ4,128322839,128334072,NC_000009.12,GRCh38.p14
TMEM43,14125052,14143680,NC_000003.12,GRCh38.p14
CACNA1C,1970780,2697950,NC_000012.12,GRCh38.p14
MYH6,23381987,23408273,NC_000014.9,GRCh38.p14
VCL,73998116,74121363,NC_000010.11,GRCh38.p14
SDHD,112086873,112095794,NC_000011.10,GRCh38.p14
ELAC2,12991612,13018027,NC_000017.11,GRCh38.p14
AARS2,44298731,44313347,NC_000006.12,GRCh38.p14
LAMP2,120426148,120469349,NC_000023.11,GRCh38.p14
KCNH2,150944961,150978321,NC_000007.14,GRCh38.p14
ACSF3,89093852,89156233,NC_000016.10,GRCh38.p14
MYH7B,34955868,35002437,NC_000020.11,GRCh38.p14
PRKAG2,151556127,151877115,NC_000007.14,GRCh38.p14
MYBPC3,47331406,47352702,NC_000011.10,GRCh38.p14
PMPCA,136410658,136423761,NC_000009.12,GRCh38.p14
HSD17B10,53431258,53434376,NC_000023.11,GRCh38.p14
RRAS,49635292,49640143,NC_000019.10,GRCh38.p14
RRAS2,14277920,14364506,NC_000011.10,GRCh38.p14
NDUFS2,161197417,161214395,NC_000001.11,GRCh38.p14
MYH7,23412740,23435660,NC_000014.9,GRCh38.p14
ETFA,76215353,76311469,NC_000015.10,GRCh38.p14
MAPK1,21759657,21867680,NC_000022.11,GRCh38.p14
MT-ATP6,8527,9207,NC_012920.1,"Homo sapiens mitochondrion, complete genome"
GTPBP3,17334982,17342731,NC_000019.10,GRCh38.p14
GAA,80101581,80119881,NC_000017.11,GRCh38.p14
NDUFAF1,41387353,41403026,NC_000015.10,GRCh38.p14
NNT,43602675,43707396,NC_000005.10,GRCh38.p14
CBL,119206339,119308149,NC_000011.10,GRCh38.p14
ACADVL,7217125,7225266,NC_000017.11,GRCh38.p14
SCN5A,38548062,38649687,NC_000003.12,GRCh38.p14
TAFAZZIN,154411539,154421726,NC_000023.11,GRCh38.p14
FNIP1,131641714,131797017,NC_000005.10,GRCh38.p14
NDUFA2,140645285,140647630,NC_000005.10,GRCh38.p14
BAG3,119651380,119677819,NC_000010.11,GRCh38.p14
COX15,99694293,99732127,NC_000010.11,GRCh38.p14
DLG4,7187187,7220050,NC_000017.11,GRCh38.p14
CSRP3,19182030,19201983,NC_000011.10,GRCh38.p14
PRF1,70597348,70602741,NC_000010.11,GRCh38.p14
TINF2,24239640,24242674,NC_000014.9,GRCh38.p14
LMNA,156082573,156140081,NC_000001.11,GRCh38.p14
AGK,141551410,141655244,NC_000007.14,GRCh38.p14
FASTKD2,206765606,206796189,NC_000002.12,GRCh38.p14
CAVIN1,42402449,42423256,NC_000017.11,GRCh38.p14
GLA,101397803,101407925,NC_000023.11,GRCh38.p14
PDLIM3,185500660,185535507,NC_000004.12,GRCh38.p14
MYO6,75749239,75919537,NC_000006.12,GRCh38.p14
CRYAB,111908564,111923740,NC_000011.10,GRCh38.p14
MYOZ2,119135832,119187789,NC_000004.12,GRCh38.p14
SLC25A20,48856926,48898882,NC_000003.12,GRCh38.p14
MYPN,68087897,68212017,NC_000010.11,GRCh38.p14
KRAS,25205246,25250929,NC_000012.12,GRCh38.p14
HCCS,11111332,11123086,NC_000023.11,GRCh38.p14
PIK3CA,179148126,179240093,NC_000003.12,GRCh38.p14
LZTR1,20982297,20999032,NC_000022.11,GRCh38.p14
HFE,26087429,26098343,NC_000006.12,GRCh38.p14
NCF1,74774011,74789315,NC_000007.14,GRCh38.p14
HADHB,26244939,26290465,NC_000002.12,GRCh38.p14
IDUA,986997,1004564,NC_000004.12,GRCh38.p14
ACTC1,34790230,34795549,NC_000015.10,GRCh38.p14
TNNC1,55151767,55157732,NC_000019.10,GRCh38.p14
TMEM70,73976195,73982783,NC_000008.11,GRCh38.p14
ILK,6603774,6610870,NC_000011.10,GRCh38.p14
TNNT2,201359014,201377680,NC_000001.11,GRCh38.p14
PTPN11,112418947,112509918,NC_000012.12,GRCh38.p14
MT-CO2,7586,8269,NC_012920.1,"Homo sapiens mitochondrion, complete genome"
ETFB,51345155,51366388,NC_000019.10,GRCh38.p14
PYGL,50905217,50944483,NC_000014.9,GRCh38.p14
CAV3,8733802,8746758,NC_000003.12,GRCh38.p14
TTN,31591877,31598821,NC_000018.10,GRCh38.p14
MTO1,73461737,73509236,NC_000006.12,GRCh38.p14
NAA10,153929225,153935037,NC_000023.11,GRCh38.p14
COQ9,57447479,57461270,NC_000016.10,GRCh38.p14
DES,219418377,219426734,NC_000002.12,GRCh38.p14
SOS2,50117130,50231882,NC_000014.9,GRCh38.p14
BRAF,140713328,140924929,NC_000007.14,GRCh38.p14
FOXRED1,126269154,126278126,NC_000011.10,GRCh38.p14
NEXN,77888624,77943895,NC_000001.11,GRCh38.p14
PPP1CB,28751604,28802940,NC_000002.12,GRCh38.p14
AGPAT2,136673143,136687457,NC_000009.12,GRCh38.p14
TCAP,39665349,39666554,NC_000017.11,GRCh38.p14
TNNI3,55151767,55157732,NC_000019.10,GRCh38.p14
MMACHC,45500300,45513382,NC_000001.11,GRCh38.p14
COX10,14069504,14208677,NC_000017.11,GRCh38.p14
RAF1,12583601,12664117,NC_000003.12,GRCh38.p14
TPM1,63042747,63071915,NC_000015.10,GRCh38.p14
SCO2,50523568,50526442,NC_000022.11,GRCh38.p14
GJB2,20187470,20192938,NC_000013.11,GRCh38.p14
MT-TL1,3230,3304,NC_012920.1,"Homo sapiens mitochondrion, complete genome"
MMAB,109553715,109573504,NC_000012.12,GRCh38.p14
HRAS,532242,535576,NC_000011.10,GRCh38.p14
SPRED2,65307175,65432599,NC_000002.12,GRCh38.p14
PPP1R21,48440766,48515386,NC_000002.12,GRCh38.p14
MYO18B,25742188,26063847,NC_000022.11,GRCh38.p14
PKP2,32790755,32896777,NC_000012.12,GRCh38.p14
KLHL24,183635623,183684519,NC_000003.12,GRCh38.p14
TRIM63,26051301,26067630,NC_000001.11,GRCh38.p14
LDB3,86666788,86736072,NC_000010.11,GRCh38.p14
MAP2K2,4090321,4124122,NC_000019.10,GRCh38.p14
ALPK3,84817356,84873479,NC_000015.10,GRCh38.p14
SHOC2,110919370,111013665,NC_000010.11,GRCh38.p14
NDUFA11,5891229,5903790,NC_000019.10,GRCh38.p14
NDUFS8,68030681,68036644,NC_000011.10,GRCh38.p14
CELSR3,48636463,48662886,NC_000003.12,GRCh38.p14
FXN,69035752,69079076,NC_000009.12,GRCh38.p14
CAV1,116525009,116561185,NC_000007.14,GRCh38.p14
