gene,gene_id,chr_accession,start,end,strand,length
TRIM63,84676,NC_000001.11,26051301.0,26067630.0,-,16330.0
MMACHC,25974,NC_000001.11,45500300.0,45513382.0,+,13083.0
NEXN,91624,NC_000001.11,77888624.0,77943895.0,+,55272.0
NRAS,4893,NC_000001.11,114704469.0,114716771.0,-,12303.0
FLAD1,80308,NC_000001.11,154983344.0,154993111.0,+,9768.0
RIT1,,,,,,
LMNA,4000,NC_000001.11,156082573.0,156140081.0,+,57509.0
NDUFS2,4720,NC_000001.11,161197417.0,161214395.0,+,16979.0
TNNT2,7139,NC_000001.11,201359014.0,201377680.0,-,18667.0
ACTN2,88,NC_000001.11,236686499.0,236764631.0,+,78133.0
HADHB,3032,NC_000002.12,26244939.0,26290465.0,+,45527.0
PPP1CB,5500,NC_000002.12,28751604.0,28802940.0,+,51337.0
SOS1,6654,NC_000002.12,38981549.0,39124868.0,-,143320.0
PPP1R21,129285,NC_000002.12,48440766.0,48515386.0,+,74621.0
SPRED2,200734,NC_000002.12,65307175.0,65432599.0,-,125425.0
MCEE,84693,NC_000002.12,71109687.0,71130229.0,-,20543.0
SUCLG1,8802,NC_000002.12,84423528.0,84459280.0,-,35753.0
MMADHC,27249,NC_000002.12,149569637.0,149587775.0,-,18139.0
TTN,,,,,,
FASTKD2,22868,NC_000002.12,206765606.0,206796189.0,+,30584.0
DES,1674,NC_000002.12,219418377.0,219426734.0,+,8358.0
CAV3,859,NC_000003.12,8733802.0,8746758.0,+,12957.0
RAF1,5894,NC_000003.12,12583601.0,12664117.0,-,80517.0
TMEM43,79188,NC_000003.12,14125052.0,14143680.0,+,18629.0
SCN5A,6331,NC_000003.12,38548062.0,38649687.0,-,101626.0
SLC25A20,788,NC_000003.12,48856926.0,48898882.0,-,41957.0
TNNC1,,,,,,
PIK3CA,5290,NC_000003.12,179148126.0,179240093.0,+,91968.0
KLHL24,54800,NC_000003.12,183635623.0,183684519.0,+,48897.0
OPA1,4976,NC_000003.12,193593208.0,193697811.0,+,104604.0
IDUA,3425,NC_000004.12,986997.0,1004564.0,+,17568.0
MMAA,166785,NC_000004.12,145619385.0,145660033.0,+,40649.0
ETFDH,2110,NC_000004.12,158672296.0,158709623.0,+,37328.0
SLC25A4,291,NC_000004.12,185143266.0,185150382.0,+,7117.0
NNT,23530,NC_000005.10,43602675.0,43707396.0,+,104722.0
FNIP1,96459,NC_000005.10,131641714.0,131797017.0,-,155304.0
SLC22A5,6584,NC_000005.10,132369710.0,132395612.0,+,25903.0
NDUFA2,4695,NC_000005.10,140645285.0,140647630.0,-,2346.0
HFE,3077,NC_000006.12,26087429.0,26098343.0,+,10915.0
AARS2,57505,NC_000006.12,44298731.0,44313347.0,-,14617.0
MMUT,4594,NC_000006.12,49430360.0,49463253.0,-,32894.0
MTO1,25821,NC_000006.12,73461737.0,73509236.0,+,47500.0
MYO6,4646,NC_000006.12,75749239.0,75919537.0,+,170299.0
FBXL4,26235,NC_000006.12,98868535.0,98947946.0,-,79412.0
NCF1,653361,NC_000007.14,74774011.0,74789315.0,+,15305.0
CAV1,857,NC_000007.14,116525009.0,116561185.0,+,36177.0
FLNC,2318,NC_000007.14,128830406.0,128859272.0,+,28867.0
