gene,gene_id,chr_accession,start,end,strand,length
MT-CO2,4513,NC_012920.1,7586,8269,+,684
FASTKD2,22868,NC_000002.12,206765606,206796189,+,30584
PRKAG2,51422,NC_000007.14,151556127,151877115,-,320989
PPP1R21,129285,NC_000002.12,48440766,48515386,+,74621
FLNC,2318,NC_000007.14,128830406,128859272,+,28867
CACNA1C,775,NC_000012.12,1970780,2697950,+,727171
COQ4,51117,NC_000009.12,128322839,128334072,+,11234
MMUT,4594,NC_000006.12,49430360,49463253,-,32894
TINF2,26277,NC_000014.9,24239640,24242674,-,3035
ACADVL,37,NC_000017.11,7217125,7225266,+,8142
CAV3,859,NC_000003.12,8733802,8746758,+,12957
LZTR1,8216,NC_000022.11,20982297,20999032,+,16736
CAVIN1,284119,NC_000017.11,42402449,42423256,-,20808
CRYAB,1410,NC_000011.10,111908564,111923740,-,15177
SLC22A5,6584,NC_000005.10,132369710,132395612,+,25903
ACTC1,70,NC_000015.10,34790230,34795549,-,5320
DES,1674,NC_000002.12,219418377,219426734,+,8358
KRAS,3845,NC_000012.12,25205246,25250929,-,45684
MMAA,166785,NC_000004.12,145619385,145660033,+,40649
GLA,2717,NC_000023.11,101397803,101407925,-,10123
CSRP3,8048,NC_000011.10,19182030,19201983,-,19954
PRF1,5551,NC_000010.11,70597348,70602741,-,5394
SPRED2,200734,NC_000002.12,65307175,65432599,-,125425
FXN,2395,NC_000009.12,69035752,69079076,+,43325
HCCS,3052,NC_000023.11,11111332,11123086,+,11755
CBL,867,NC_000011.10,119206339,119308149,+,101811
PPP1CB,5500,NC_000002.12,28751604,28802940,+,51337
TULP3,7289,NC_000012.12,2890891,2941138,+,50248
BAG3,9531,NC_000010.11,119651380,119677819,+,26440
OPA1,4976,NC_000003.12,193593208,193697811,+,104604
MYO6,4646,NC_000006.12,75749239,75919537,+,170299
TCAP,8557,NC_000017.11,39665349,39666554,+,1206
NCF1,653361,NC_000007.14,74774011,74789315,+,15305
MMADHC,27249,NC_000002.12,149569637,149587775,-,18139
NDUFA13,51079,NC_000019.10,19516225,19528198,+,11974
NEXN,91624,NC_000001.11,77888624,77943895,+,55272
MMAB,326625,NC_000012.12,109553715,109573504,-,19790
FHL1,3075,NC_000001.11,196652043,196747504,+,95462
PMPCA,23203,NC_000009.12,136410658,136423761,+,13104
ETFA,2108,NC_000015.10,76215353,76311469,-,96117
CAV1,857,NC_000007.14,116525009,116561185,+,36177
NDUFB11,54539,NC_000023.11,47142216,47145491,-,3276
NAA10,8260,NC_000023.11,153929225,153935037,-,5813
MT-TL1,4567,NC_012920.1,3230,3304,+,75
MYL2,4633,NC_000012.12,110910845,110921449,-,10605
SLC25A3,5250,NC_000012.12,98593686,98606367,+,12682
AGK,55750,NC_000007.14,141551410,141655244,+,103835
TAFAZZIN,6901,NC_000023.11,154411539,154421726,+,10188
MMACHC,25974,NC_000001.11,45500300,45513382,+,13083
COX10,1352,NC_000017.11,14069504,14208677,+,139174
PTPN11,5781,NC_000012.12,112418947,112509918,+,90972
TNNI3,7137,NC_000019.10,55151767,55157732,-,5966
HSD17B10,3028,NC_000023.11,53431258,53434376,-,3119
